Iterations,Scores
0,152
1,152
2,152
3,152
4,152
5,242
6,202
7,201
8,201
9,201
10,201
11,201
12,201
13,201
14,87
15,87
16,87
17,83
18,83
19,83
20,83
21,83
22,83
23,83
24,83
25,83
26,83
27,112
28,110
29,96
30,96
31,96
32,96
33,96
34,96
35,96
36,96
37,96
38,96
39,96
40,96
41,96
42,96
43,96
44,135
45,135
46,135
47,135
48,134
49,134
50,77
51,77
52,77
53,77
54,91
55,91
56,91
57,91
58,91
59,91
60,91
61,91
62,85
63,85
64,85
65,85
66,161
67,161
68,161
69,161
70,161
71,161
72,161
73,162
74,132
75,132
76,132
77,132
78,132
79,132
80,132
81,138
82,138
83,138
84,139
85,139
86,139
87,139
88,139
89,139
90,139
91,139
92,139
93,139
94,139
95,137
96,137
97,137
98,137
99,137
100,137
101,137
102,137
103,137
104,137
105,137
106,137
107,137
108,137
109,137
110,137
111,137
112,137
113,124
114,124
115,124
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,156
136,156
137,156
138,156
139,156
140,156
141,156
142,156
143,156
144,156
145,156
146,156
147,207
148,187
149,168
150,168
151,168
152,109
153,109
154,109
155,109
156,95
157,95
158,95
159,146
160,146
161,146
162,146
163,146
164,146
165,144
166,144
167,144
168,144
169,144
170,144
171,144
172,139
173,139
174,139
175,139
176,139
177,139
178,139
179,139
180,139
181,139
182,139
183,113
184,113
185,113
186,130
187,130
188,130
189,130
190,130
191,118
192,115
193,115
194,115
195,115
196,115
197,126
198,126
199,126
200,126
201,126
202,126
203,126
204,126
205,126
206,126
207,126
208,126
209,126
210,126
211,126
212,126
213,126
214,126
215,126
216,126
217,126
218,141
219,141
220,141
221,141
222,141
223,141
224,152
225,152
226,152
227,168
228,168
229,168
230,168
231,178
232,178
233,178
234,178
235,183
236,183
237,183
238,183
239,187
240,187
241,187
242,187
243,187
244,187
245,187
246,187
247,187
248,187
249,187
250,176
251,176
252,176
253,176
254,176
255,176
256,176
257,157
258,157
259,151
260,151
261,151
262,151
263,151
264,151
265,151
266,151
267,151
268,151
269,151
270,151
271,151
272,148
273,148
274,148
275,148
276,148
277,148
278,148
279,148
280,148
281,148
282,148
283,117
284,117
285,117
286,117
287,117
288,117
289,117
290,213
291,213
292,213
293,213
294,213
295,213
296,213
297,213
298,213
299,213
300,213
301,213
302,213
303,213
304,213
305,213
306,213
307,213
308,213
309,213
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,240
336,244
337,244
338,244
339,293
340,293
341,293
342,293
343,293
344,293
345,293
346,293
347,293
348,293
349,293
350,293
351,293
352,293
353,291
354,291
355,291
356,291
357,291
358,291
359,291
360,291
361,291
362,291
363,291
364,291
365,291
366,299
367,298
368,298
369,298
370,298
371,298
372,298
373,298
374,298
375,298
376,298
377,298
378,298
379,298
380,298
381,298
382,298
383,298
384,298
385,298
386,298
387,298
388,298
389,310
390,310
391,310
392,310
393,310
394,310
395,310
396,310
397,310
398,310
399,310
400,310
401,310
402,310
403,310
404,310
405,310
406,310
407,310
408,310
409,310
410,310
411,310
412,310
413,310
414,310
415,310
416,310
417,310
418,302
419,302
420,302
421,327
422,327
423,327
424,327
425,327
426,327
427,327
428,327
429,327
430,327
431,327
432,327
433,327
434,341
435,341
436,341
437,341
438,341
439,341
440,341
441,341
442,341
443,341
444,341
445,341
446,341
447,341
448,341
449,341
450,341
451,341
452,341
453,341
454,341
455,341
456,341
457,341
458,341
459,341
460,341
461,341
462,341
463,341
464,341
465,341
466,341
467,341
468,341
469,341
470,341
471,343
472,342
473,370
474,370
475,370
476,377
477,377
478,377
479,377
480,377
481,377
482,377
483,377
484,376
485,376
486,376
487,376
488,376
489,376
490,379
491,379
492,379
493,379
494,379
495,379
496,379
497,379
498,379
499,379
500,439
501,439
502,439
503,439
504,439
505,439
506,447
507,447
508,447
509,447
510,447
511,447
512,447
513,447
514,448
515,448
516,448
517,448
518,448
519,448
520,448
521,448
522,452
523,452
524,452
525,452
526,452
527,452
528,452
529,452
530,452
531,452
532,452
533,452
534,452
535,462
536,462
537,462
538,462
539,462
540,462
541,466
542,466
543,472
544,472
545,472
546,472
547,472
548,481
549,481
550,481
551,481
552,481
553,481
554,481
555,492
556,492
557,492
558,492
559,492
560,492
561,492
562,492
563,492
564,492
565,492
566,492
567,492
568,492
569,492
570,492
571,492
572,496
573,496
574,496
575,496
576,496
577,496
578,498
579,498
580,498
581,498
582,498
583,498
584,498
585,498
586,498
587,498
588,498
589,498
590,498
591,498
592,498
593,498
594,498
595,498
596,498
597,498
598,498
599,498
600,498
601,498
602,498
603,498
604,498
605,498
606,498
607,508
608,508
609,508
610,508
611,508
612,508
613,508
614,508
615,508
616,508
617,508
618,508
619,508
620,508
621,508
622,508
623,508
624,508
625,508
626,508
627,508
628,508
629,508
630,508
631,508
632,508
633,521
634,521
635,521
636,521
637,521
638,521
639,521
640,521
641,521
642,521
643,521
644,521
645,521
646,531
647,531
648,531
649,544
650,544
651,544
652,544
653,544
654,544
655,544
656,546
657,546
658,546
659,546
660,546
661,546
662,546
663,546
664,546
665,546
666,546
667,546
668,546
669,546
670,546
671,546
672,546
673,564
674,564
675,564
676,564
677,564
678,564
679,564
680,564
681,564
682,564
683,564
684,564
685,564
686,564
687,564
688,566
689,566
690,577
691,577
692,577
693,577
694,577
695,577
696,577
697,577
698,577
699,579
700,579
701,579
702,583
703,583
704,593
705,599
706,599
707,599
708,599
709,599
710,599
711,601
712,601
713,601
714,601
715,601
716,601
717,601
718,601
719,601
720,603
721,603
722,603
723,603
724,603
725,603
726,621
727,627
728,627
729,627
730,627
731,627
732,627
733,627
734,627
735,627
736,639
737,639
738,639
739,639
740,639
741,639
742,639
743,639
744,639
745,639
746,639
747,639
748,639
749,639
750,639
751,639
752,639
753,639
754,639
755,639
756,639
757,639
758,639
759,639
760,639
761,639
762,639
763,639
764,639
765,639
766,639
767,639
768,639
769,639
770,639
771,639
772,639
773,639
774,639
775,642
776,642
777,642
778,642
779,642
780,642
781,642
782,642
783,642
784,646
785,646
786,646
787,646
788,646
789,646
790,646
791,646
792,646
793,646
794,646
795,646
796,646
797,646
798,646
799,646
800,646
801,646
802,646
803,646
804,646
805,646
806,646
807,646
808,646
809,646
810,646
811,646
812,646
813,646
814,646
815,646
816,646
817,646
818,646
819,646
820,646
821,646
822,646
823,648
824,648
825,648
826,651
827,653
828,653
829,653
830,653
831,653
832,653
833,653
834,653
835,653
836,653
837,653
838,653
839,653
840,653
841,653
842,653
843,653
844,653
845,653
846,653
847,653
848,653
849,653
850,653
851,653
852,653
853,653
854,653
855,654
856,654
857,654
858,654
859,654
860,654
861,654
862,654
863,654
864,654
865,654
866,654
867,654
868,656
869,656
870,656
871,656
872,656
873,656
874,656
875,656
876,656
877,656
878,656
879,656
880,656
881,656
882,656
883,656
884,656
885,659
886,659
887,659
888,659
889,659
890,659
891,659
892,659
893,659
894,659
895,659
896,659
897,659
898,659
899,659
900,659
901,659
902,659
903,659
904,659
905,659
906,659
907,659
908,659
909,659
910,659
911,659
912,659
913,659
914,659
915,659
916,659
917,659
918,659
919,659
920,659
921,659
922,659
923,659
924,674
925,674
926,674
927,674
928,674
929,674
930,674
931,675
932,675
933,675
934,676
935,676
936,676
937,676
938,676
939,676
940,676
941,676
942,676
943,700
944,700
945,700
946,700
947,700
948,700
949,700
950,700
951,700
952,700
953,700
954,700
955,700
956,700
957,700
958,700
959,700
960,700
961,700
962,700
963,700
964,700
965,700
966,700
967,700
968,700
969,700
970,700
971,700
972,700
973,700
974,700
975,700
976,700
977,700
978,700
979,700
980,700
981,700
982,700
983,700
984,700
985,700
986,700
987,700
988,700
989,700
990,700
991,700
992,700
993,700
994,700
995,700
996,700
997,700
998,716
999,716
1000,716
1001,716
1002,716
1003,716
1004,716
1005,716
1006,716
1007,716
1008,716
1009,717
1010,717
1011,717
1012,717
1013,717
1014,717
1015,717
1016,717
1017,717
1018,717
1019,717
1020,717
1021,717
1022,717
1023,718
1024,718
1025,718
1026,718
1027,718
1028,718
1029,719
1030,719
1031,719
1032,719
1033,719
1034,719
1035,719
1036,719
1037,719
1038,719
1039,719
1040,719
1041,719
1042,719
1043,725
1044,727
1045,727
1046,727
1047,727
1048,727
1049,727
1050,727
1051,727
1052,727
1053,727
1054,727
1055,727
1056,730
1057,730
1058,730
1059,730
1060,730
1061,730
1062,730
1063,730
1064,730
1065,730
1066,730
1067,730
1068,730
1069,730
1070,730
1071,730
1072,730
1073,730
1074,730
1075,730
1076,730
1077,730
1078,741
1079,741
1080,741
1081,741
1082,741
1083,741
1084,760
1085,760
1086,760
1087,760
1088,760
1089,773
1090,773
1091,773
1092,773
1093,773
1094,773
1095,773
1096,773
1097,773
1098,773
1099,773
1100,773
1101,773
1102,773
1103,773
1104,773
1105,773
1106,773
1107,773
1108,773
1109,773
1110,773
1111,773
1112,773
1113,773
1114,773
1115,773
1116,773
1117,773
1118,773
1119,773
1120,773
1121,773
1122,773
1123,773
1124,803
1125,803
1126,803
1127,803
1128,803
1129,803
1130,803
1131,803
1132,803
1133,815
1134,815
1135,815
1136,815
1137,815
1138,815
1139,815
1140,889
1141,889
1142,889
1143,889
1144,889
1145,889
1146,889
1147,889
1148,889
1149,891
1150,891
1151,891
1152,891
1153,902
1154,902
1155,902
1156,902
1157,902
