Iterations,Scores
0,47
1,47
2,47
3,47
4,47
5,47
6,47
7,47
8,47
9,47
10,47
11,47
12,47
13,47
14,47
15,90
16,90
17,90
18,90
19,90
20,90
21,90
22,90
23,90
24,90
25,90
26,95
27,95
28,95
29,95
30,95
31,95
32,95
33,80
34,80
35,80
36,80
37,80
38,80
39,80
40,80
41,80
42,80
43,80
44,80
45,80
46,80
47,80
48,80
49,80
50,80
51,80
52,80
53,80
54,80
55,69
56,69
57,69
58,69
59,69
60,69
61,69
62,69
63,69
64,69
65,69
66,69
67,69
68,69
69,69
70,69
71,69
72,69
73,69
74,69
75,69
76,51
77,51
78,51
79,51
80,51
81,51
82,51
83,51
84,51
85,51
86,51
87,51
88,51
89,57
90,32
91,32
92,32
93,32
94,32
95,32
96,32
97,32
98,32
99,32
100,32
101,32
102,32
103,32
104,32
105,32
106,32
107,32
108,32
109,32
110,32
111,32
112,32
113,32
114,32
115,26
116,26
117,52
118,52
119,48
120,48
121,48
122,48
123,48
124,77
125,77
126,77
127,77
128,77
129,77
130,77
131,77
132,77
133,77
134,77
135,77
136,77
137,77
138,77
139,77
140,48
141,87
142,87
143,87
144,87
145,87
146,87
147,87
148,87
149,87
150,87
151,87
152,87
153,87
154,87
155,87
156,87
157,87
158,91
159,91
160,91
161,91
162,91
163,91
164,91
165,91
166,25
167,25
168,25
169,25
170,25
171,25
172,25
173,25
174,25
175,25
176,25
177,25
178,25
179,25
180,25
181,25
182,25
183,25
184,25
185,25
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,45
196,45
197,45
198,45
199,45
200,45
201,45
202,45
203,45
204,45
205,45
206,45
207,45
208,48
209,48
210,48
211,48
212,48
213,48
214,48
215,48
216,48
217,48
218,75
219,75
220,75
221,75
222,75
223,75
224,75
225,75
226,75
227,75
228,32
229,32
230,32
231,32
232,32
233,32
234,32
235,32
236,32
237,32
238,32
239,32
240,32
241,32
242,32
243,32
244,32
245,32
246,32
247,32
248,32
249,32
250,32
251,32
252,32
253,32
254,32
255,32
256,32
257,32
258,52
259,52
260,52
261,52
262,52
263,52
264,52
265,52
266,52
267,52
268,52
269,52
270,52
271,52
272,52
273,52
274,52
275,52
276,34
277,34
278,79
279,79
280,79
281,79
282,79
283,79
284,79
285,53
286,53
287,53
288,53
289,53
290,53
291,53
292,53
293,53
294,53
295,53
296,53
297,53
298,53
299,53
300,53
301,53
302,53
303,53
304,53
305,53
306,53
307,53
308,53
309,53
310,53
311,53
312,53
313,53
314,53
315,53
316,53
317,53
318,70
319,70
320,70
321,70
322,70
323,70
324,70
325,70
326,70
327,70
328,70
329,70
330,70
331,70
332,70
333,70
334,195
335,195
336,195
337,55
338,55
339,55
340,55
341,55
342,55
343,55
344,55
345,55
346,55
347,55
348,55
349,55
350,55
351,55
352,55
353,55
354,55
355,55
356,55
357,55
358,55
359,55
360,55
361,55
362,55
363,55
364,64
365,64
366,64
367,64
368,64
369,64
370,64
371,64
372,64
373,64
374,64
375,64
376,64
377,64
378,64
379,64
380,64
381,64
382,64
383,64
384,64
385,64
386,64
387,64
388,64
389,64
390,64
391,64
392,64
393,64
394,64
395,64
396,64
397,64
398,64
399,64
400,64
401,64
402,64
403,64
404,64
405,64
406,64
407,64
408,64
409,64
410,64
411,64
412,64
413,64
414,64
415,186
416,186
417,186
418,186
419,186
420,186
421,186
422,186
423,186
424,186
425,186
426,186
427,186
428,186
429,186
430,186
431,186
432,186
433,186
434,186
435,186
436,186
437,186
438,186
439,186
440,197
441,197
442,197
443,197
444,197
445,197
446,197
447,197
448,197
449,197
450,197
451,157
452,157
453,157
454,157
455,157
456,157
457,157
458,157
459,157
460,157
461,157
462,157
463,157
464,39
465,39
466,39
467,39
468,39
469,39
470,149
471,149
472,149
473,149
474,149
475,149
476,149
477,149
478,149
479,149
480,149
481,149
482,188
483,188
484,184
485,184
486,184
487,182
488,182
489,182
490,182
491,182
492,182
493,168
494,168
495,168
496,168
497,168
498,176
499,175
500,175
501,183
502,183
503,170
504,170
505,170
506,183
507,183
508,183
509,183
510,191
511,191
512,191
513,191
514,182
515,182
516,182
517,182
518,180
519,180
520,180
521,180
522,180
523,180
524,180
525,180
526,180
527,180
528,180
529,180
530,180
531,180
532,180
533,180
534,180
535,180
536,180
537,180
538,187
539,187
540,187
541,187
542,187
543,141
544,141
545,141
546,141
547,141
548,141
549,141
550,46
551,174
552,174
553,174
554,174
555,174
556,174
557,174
558,174
559,174
560,90
561,90
562,90
563,90
564,90
565,90
566,90
567,90
568,90
569,90
570,90
571,90
572,90
573,90
574,90
575,49
576,49
577,49
578,91
579,91
580,91
581,91
582,91
583,91
584,91
585,91
586,91
587,91
588,91
589,91
590,91
591,91
592,91
593,91
594,91
595,91
596,91
597,98
598,98
599,98
600,98
601,98
602,98
603,98
604,98
605,98
606,98
607,98
608,98
609,98
610,98
611,98
612,98
613,94
614,94
615,94
616,94
617,94
618,94
619,94
620,94
621,94
622,94
623,94
624,142
625,122
626,122
627,81
628,81
629,81
630,81
631,81
632,81
633,81
634,81
635,81
636,81
637,81
638,81
639,81
640,81
641,184
642,117
643,117
644,117
645,117
646,117
647,117
648,117
649,89
650,97
651,111
652,111
653,111
654,111
655,111
656,89
657,89
658,89
659,89
660,148
661,127
662,127
663,136
664,136
665,136
666,136
667,63
668,63
669,85
670,85
671,85
672,85
673,93
674,93
675,93
676,93
677,93
678,93
679,92
680,96
681,96
682,96
683,103
684,74
685,74
686,74
687,74
688,74
689,74
690,74
691,74
692,74
693,74
694,74
695,74
696,76
697,76
698,76
699,76
700,76
701,76
702,76
703,76
704,76
705,76
706,71
707,71
708,71
709,71
710,71
711,71
712,71
713,71
714,71
715,87
716,87
717,87
718,87
719,87
720,87
721,87
722,87
723,87
724,87
725,87
726,87
727,87
728,87
729,87
730,76
731,76
732,76
733,76
734,78
735,159
736,159
737,182
738,182
739,182
740,182
741,131
742,131
743,131
744,131
745,131
746,131
747,131
748,131
749,131
750,131
751,131
752,131
753,131
754,131
755,131
756,131
757,131
758,131
759,131
760,109
761,109
762,109
763,109
764,109
765,109
766,109
767,109
768,106
769,106
770,106
771,96
772,96
773,96
774,96
775,96
776,96
777,96
778,96
779,96
780,91
781,91
782,91
783,91
784,91
785,91
786,91
787,91
788,91
789,82
790,82
791,82
792,82
793,82
794,82
795,82
796,81
797,81
798,81
799,81
800,81
801,81
802,81
803,81
804,81
805,81
806,81
807,82
808,82
809,82
810,82
811,82
812,82
813,82
814,82
815,82
816,82
817,82
818,82
819,82
820,82
821,82
822,82
823,82
824,82
825,82
826,82
827,82
828,82
829,82
830,82
831,82
832,82
833,82
834,82
835,82
836,82
837,82
838,82
839,82
840,82
841,82
842,82
843,75
844,75
845,75
846,75
847,75
848,75
849,75
850,75
851,75
852,75
853,75
854,75
855,75
856,75
857,75
858,75
859,72
860,72
861,72
862,72
863,72
864,72
865,72
866,72
867,72
868,72
869,72
870,72
871,72
872,72
873,72
874,72
875,72
876,72
877,72
878,72
879,72
880,57
881,57
882,57
883,57
884,60
885,60
886,60
887,60
888,60
889,60
890,60
891,60
892,60
893,60
894,60
895,56
896,56
897,56
898,56
899,56
900,56
901,56
902,47
903,51
904,51
905,51
906,60
907,60
908,60
909,60
910,60
911,60
912,60
913,60
914,60
915,60
916,60
917,60
918,60
919,60
920,60
921,60
922,60
923,60
924,60
925,60
926,60
927,84
928,88
929,88
930,88
931,88
932,59
933,59
934,59
935,59
936,59
937,59
938,59
939,59
940,59
941,59
942,59
943,59
944,59
945,59
946,59
947,59
948,59
949,59
950,59
951,59
952,59
953,59
954,59
955,59
956,49
957,49
958,49
959,49
960,49
961,49
962,49
963,49
964,49
965,49
966,49
967,49
968,49
969,49
970,70
971,93
972,93
973,93
974,93
975,93
976,93
977,93
978,93
979,94
980,94
981,94
982,94
983,94
984,94
985,94
986,94
987,94
988,94
989,94
990,68
991,68
992,68
993,68
994,68
995,68
996,68
997,37
998,37
999,37
1000,37
1001,37
1002,37
1003,37
1004,37
1005,37
1006,37
1007,37
1008,37
1009,37
1010,37
1011,37
1012,37
1013,63
1014,63
1015,63
1016,63
1017,63
1018,63
1019,63
1020,63
1021,63
1022,63
1023,63
1024,63
1025,39
1026,39
1027,39
1028,39
1029,39
1030,39
1031,39
1032,39
1033,39
1034,39
