Iterations,Scores
0,118
1,118
2,93
3,93
4,93
5,93
6,93
7,93
8,93
9,87
10,87
11,87
12,87
13,87
14,87
15,109
16,109
17,109
18,109
19,109
20,109
21,109
22,109
23,109
24,109
25,109
26,109
27,109
28,109
29,49
30,49
31,49
32,49
33,49
34,49
35,49
36,49
37,97
38,97
39,97
40,97
41,97
42,97
43,97
44,97
45,97
46,97
47,97
48,97
49,97
50,97
51,97
52,97
53,93
54,93
55,90
56,90
57,90
58,95
59,95
60,95
61,95
62,95
63,89
64,89
65,89
66,89
67,89
68,89
69,89
70,89
71,86
72,86
73,86
74,86
75,86
76,86
77,86
78,86
79,86
80,46
81,46
82,46
83,46
84,46
85,46
86,46
87,46
88,46
89,46
90,46
91,46
92,46
93,46
94,46
95,46
96,46
97,46
98,46
99,46
100,46
101,46
102,46
103,46
104,46
105,46
106,46
107,46
108,46
109,46
110,46
111,46
112,46
113,46
114,46
115,46
116,46
117,46
118,46
119,46
120,46
121,46
122,46
123,46
124,46
125,46
126,46
127,46
128,46
129,46
130,46
131,46
132,46
133,46
134,46
135,46
136,46
137,46
138,46
139,46
140,46
141,46
142,46
143,46
144,46
145,46
146,46
147,46
148,46
149,46
150,46
151,46
152,46
153,46
154,46
155,46
156,46
157,46
158,46
159,46
160,27
161,27
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,27
170,27
171,27
172,49
173,49
174,49
175,49
176,53
177,53
178,53
179,53
180,53
181,53
182,53
183,53
184,53
185,53
186,53
187,53
188,53
189,53
190,53
191,53
192,53
193,53
194,53
195,53
196,53
197,53
198,53
199,53
200,53
201,53
202,53
203,69
204,69
205,91
206,103
207,103
208,103
209,103
210,103
211,103
212,103
213,103
214,103
215,103
216,103
217,103
218,103
219,185
220,185
221,185
222,185
223,185
224,185
225,246
226,246
227,246
228,246
229,246
230,246
231,246
232,246
233,246
234,246
235,246
236,246
237,246
238,246
239,246
240,246
241,246
242,246
243,246
244,246
245,246
246,246
247,246
248,250
249,250
250,271
251,271
252,271
253,271
254,271
255,271
256,271
257,271
258,408
259,408
260,408
261,408
262,408
263,408
264,408
265,408
266,408
267,408
268,408
269,408
270,408
271,408
272,408
273,408
274,408
275,408
276,412
277,412
278,412
279,412
280,412
281,415
282,415
283,415
284,415
285,422
286,422
287,422
288,422
289,422
290,422
291,422
292,422
293,422
294,422
295,422
296,422
297,422
298,422
299,422
300,422
301,422
302,422
303,422
304,422
305,422
306,422
307,422
308,422
309,422
310,422
311,422
312,422
313,422
314,433
315,433
316,433
317,433
318,433
319,433
320,433
321,433
322,433
323,433
324,433
325,433
326,433
327,433
328,433
329,433
330,433
331,433
332,433
333,433
334,433
335,433
336,433
337,433
338,433
339,433
340,433
341,435
342,435
343,435
344,435
345,435
346,435
347,435
348,435
349,435
350,435
351,435
352,435
353,435
354,435
355,435
356,435
357,435
358,435
359,435
360,435
361,436
362,436
363,437
364,437
365,437
366,437
367,437
368,437
369,437
370,437
371,441
372,443
373,443
374,443
375,443
376,443
377,443
378,443
379,443
380,443
381,443
382,443
383,443
384,443
385,444
386,444
387,444
388,444
389,444
390,444
391,444
392,444
393,445
394,445
395,445
396,445
397,445
398,445
399,445
400,445
401,445
402,447
403,447
404,447
405,447
406,493
407,493
408,493
409,493
410,494
411,494
412,494
413,494
414,494
415,494
416,494
417,494
418,494
419,494
420,494
421,494
422,494
423,494
424,494
425,494
426,499
427,499
428,499
429,499
430,499
431,499
432,499
433,499
434,499
435,499
436,499
437,499
438,499
439,499
440,510
441,510
442,510
443,510
444,521
445,521
446,521
447,521
448,521
449,521
450,521
451,521
452,521
453,521
454,521
455,521
456,524
457,524
458,524
459,524
460,524
461,524
462,524
463,524
464,524
465,524
466,524
467,524
468,524
469,524
470,524
471,524
472,524
473,524
474,524
475,524
476,524
477,524
478,540
479,540
480,540
481,540
482,540
483,540
484,540
485,540
486,540
487,540
488,540
489,540
490,540
491,540
492,540
493,540
494,540
495,544
496,544
497,544
498,544
499,544
500,544
501,544
502,544
503,544
504,544
505,544
506,544
507,544
508,544
509,544
510,544
511,544
512,558
513,558
514,558
515,594
516,594
517,594
518,594
519,594
520,594
521,594
522,594
523,594
524,594
525,594
526,594
527,594
528,594
529,594
530,594
531,594
532,594
533,594
534,594
535,594
536,594
537,594
538,594
539,594
540,594
541,596
542,596
543,597
544,597
545,597
546,597
547,597
548,603
549,603
550,603
551,603
552,603
553,603
554,603
555,603
556,603
557,603
558,603
559,603
560,603
561,603
562,603
563,603
564,603
565,603
566,603
567,603
568,603
569,603
570,603
571,603
572,603
573,603
574,603
575,603
576,603
577,603
578,603
579,603
580,603
581,603
582,605
583,605
584,605
585,607
586,607
587,607
588,607
589,607
590,607
591,607
592,607
593,607
594,607
595,607
596,607
597,607
598,607
599,607
600,607
601,607
602,607
603,607
604,607
605,607
606,607
607,607
608,607
609,607
610,607
611,607
612,608
613,608
614,608
615,608
616,608
617,608
618,608
619,608
620,608
621,608
622,608
623,608
624,608
625,609
626,609
627,609
628,609
629,609
630,609
631,609
632,609
633,609
634,609
635,609
636,609
637,609
638,609
639,609
640,622
641,622
642,622
643,622
644,622
645,622
646,622
647,622
648,622
649,622
650,622
651,622
652,622
653,622
654,622
655,625
656,625
657,625
658,625
659,625
660,625
661,625
662,625
663,625
664,625
665,625
666,625
667,625
668,629
669,629
670,629
671,629
672,634
673,634
674,634
675,634
676,634
677,634
678,634
679,634
680,634
681,634
682,634
683,634
684,634
685,634
686,634
687,634
688,634
689,634
690,634
691,634
692,634
693,634
694,634
695,634
696,634
697,634
698,634
699,634
700,634
701,634
702,634
703,634
704,634
705,634
706,634
707,634
708,634
709,646
710,646
711,646
712,646
713,646
714,646
715,646
716,646
717,646
718,646
719,646
720,646
721,646
722,646
723,646
724,646
725,646
726,646
727,646
728,646
729,646
730,646
731,646
732,646
733,646
734,646
735,646
736,646
737,646
738,646
739,646
740,646
741,646
742,646
743,646
744,646
745,646
746,646
747,646
748,646
749,646
750,646
751,646
752,646
753,646
754,646
755,646
756,646
757,646
758,646
759,646
760,654
761,654
762,654
763,654
764,654
765,654
766,654
767,654
768,655
769,655
770,655
771,655
772,655
773,655
774,655
775,655
776,655
777,655
778,655
779,655
780,655
781,655
782,655
783,655
784,655
785,655
786,655
787,655
788,655
789,655
790,655
791,655
792,655
793,655
794,655
795,655
796,655
797,655
798,655
799,655
800,655
801,655
802,655
803,655
804,655
805,655
806,655
807,655
808,655
809,655
810,655
811,655
812,655
813,655
814,655
815,655
816,655
817,655
818,655
819,655
820,655
821,655
822,655
823,655
824,655
825,655
826,655
827,655
828,655
829,677
830,677
831,677
832,677
833,677
834,677
835,677
836,677
837,677
838,677
839,677
840,677
841,677
842,677
843,677
844,710
845,710
846,710
847,715
848,719
849,719
850,719
851,719
852,719
853,719
854,719
855,719
856,719
857,719
858,719
859,719
860,719
861,739
862,739
863,739
864,739
865,739
866,739
867,739
868,739
869,739
870,739
871,739
872,739
873,739
874,739
875,754
876,754
877,754
878,754
879,754
880,754
881,754
882,754
883,754
884,754
885,754
886,754
887,754
888,754
889,754
890,754
891,754
892,754
893,754
894,754
895,754
896,754
897,754
898,754
899,754
900,754
901,754
902,754
903,754
904,754
905,754
906,754
907,754
908,754
909,754
910,754
911,754
912,754
913,754
914,754
915,754
916,754
917,754
918,754
919,754
920,754
921,754
922,754
923,754
924,754
925,754
926,754
927,776
928,776
929,778
930,778
931,778
932,778
933,778
934,778
935,778
936,778
937,778
938,778
939,778
940,778
941,778
942,778
943,778
944,778
945,778
946,778
947,778
948,778
949,778
950,778
951,778
952,779
953,779
954,779
955,779
956,779
957,779
958,779
959,779
960,779
