Iterations,Scores
0,91
1,79
2,79
3,79
4,79
5,79
6,72
7,72
8,72
9,72
10,72
11,68
12,68
13,68
14,193
15,193
16,130
17,130
18,128
19,128
20,128
21,128
22,114
23,114
24,114
25,114
26,112
27,112
28,112
29,112
30,103
31,103
32,103
33,103
34,103
35,111
36,111
37,111
38,111
39,58
40,58
41,58
42,58
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,48
64,48
65,48
66,48
67,48
68,48
69,48
70,48
71,48
72,48
73,48
74,48
75,48
76,48
77,48
78,48
79,78
80,78
81,78
82,78
83,78
84,78
85,78
86,78
87,78
88,78
89,78
90,78
91,116
92,116
93,116
94,116
95,116
96,116
97,116
98,116
99,116
100,116
101,116
102,116
103,116
104,116
105,68
106,68
107,68
108,68
109,68
110,68
111,68
112,68
113,68
114,259
115,321
116,321
117,321
118,321
119,321
120,321
121,325
122,325
123,325
124,227
125,227
126,205
127,204
128,204
129,204
130,101
131,101
132,101
133,101
134,101
135,101
136,101
137,101
138,101
139,46
140,46
141,46
142,256
143,256
144,256
145,256
146,256
147,256
148,256
149,256
150,256
151,256
152,256
153,256
154,256
155,258
156,258
157,258
158,258
159,232
160,232
161,232
162,255
163,255
164,270
165,270
166,312
167,314
168,314
169,314
170,302
171,302
172,302
173,302
174,302
175,305
176,305
177,305
178,305
179,305
180,305
181,305
182,305
183,305
184,305
185,305
186,305
187,307
188,307
189,307
190,309
191,309
192,309
193,309
194,309
195,309
196,309
197,309
198,309
199,309
200,309
201,309
202,309
203,309
204,309
205,310
206,310
207,310
208,310
209,310
210,310
211,310
212,310
213,310
214,310
215,310
216,322
217,322
218,321
219,321
220,321
221,321
222,321
223,321
224,321
225,321
226,321
227,321
228,321
229,322
230,322
231,322
232,322
233,322
234,341
235,341
236,341
237,341
238,341
239,341
240,341
241,341
242,341
243,341
244,341
245,341
246,341
247,341
248,447
249,447
250,447
251,447
252,447
253,447
254,447
255,459
256,459
257,459
258,459
259,459
260,459
261,459
262,491
263,491
264,491
265,491
266,491
267,491
268,491
269,491
270,491
271,491
272,491
273,491
274,491
275,491
276,491
277,493
278,498
279,498
280,499
281,499
282,499
283,499
284,499
285,500
286,500
287,500
288,500
289,500
290,500
291,500
292,500
293,500
294,500
295,500
296,500
297,500
298,500
299,500
300,500
301,500
302,500
303,501
304,501
305,501
306,501
307,501
308,501
309,501
310,501
311,501
312,501
313,501
314,501
315,501
316,503
317,503
318,503
319,503
320,503
321,503
322,503
323,503
324,511
325,511
326,511
327,511
328,511
329,511
330,511
331,511
332,511
333,511
334,511
335,511
336,511
337,513
338,513
339,513
340,520
341,520
342,520
343,520
344,520
345,520
346,520
347,520
348,520
349,520
350,520
351,520
352,520
353,520
354,520
355,520
356,520
357,520
358,520
359,520
360,520
361,521
362,521
363,524
364,524
365,524
366,524
367,537
368,537
369,537
370,537
371,537
372,537
373,537
374,537
375,537
376,537
377,537
378,537
379,547
380,547
381,547
382,547
383,547
384,547
385,547
386,547
387,559
388,559
389,591
390,591
391,591
392,591
393,591
394,591
395,591
396,591
397,591
398,591
399,591
400,591
401,591
402,591
403,591
404,591
405,591
406,591
407,591
408,591
409,591
410,591
411,591
412,591
413,591
414,598
415,598
416,598
417,598
418,598
419,598
420,598
421,598
422,598
423,598
424,610
425,610
426,610
427,610
428,610
429,610
430,610
431,610
432,610
433,610
434,610
435,610
436,610
437,610
438,610
439,610
440,610
441,610
442,611
443,611
444,611
445,612
446,612
447,612
448,612
449,612
450,612
451,613
452,613
453,613
454,613
455,613
456,613
457,613
458,613
459,613
460,613
461,613
462,613
463,613
464,613
465,613
466,613
467,613
468,613
469,613
470,613
471,613
472,613
473,613
474,614
475,614
476,614
477,614
478,614
479,614
480,614
481,614
482,614
483,614
484,614
485,614
486,614
487,614
488,614
489,614
490,614
491,614
492,614
493,614
494,614
495,614
496,614
497,616
498,616
499,616
500,616
501,616
502,616
503,616
504,616
505,616
506,616
507,616
508,616
509,616
510,616
511,616
512,616
513,616
514,616
515,616
516,616
517,616
518,616
519,616
520,618
521,618
522,618
523,639
524,639
525,639
526,639
527,639
528,639
529,646
530,646
531,661
532,661
533,661
534,661
535,661
536,661
537,661
538,661
539,661
540,661
541,661
542,661
543,661
544,661
545,661
546,661
547,661
548,661
549,661
550,661
551,661
552,661
553,661
554,661
555,661
556,661
557,661
558,661
559,661
560,662
561,662
562,662
563,662
564,662
565,662
566,662
567,662
568,662
569,662
570,662
571,662
572,662
573,662
574,684
575,684
576,684
577,684
578,684
579,684
580,684
581,684
582,684
583,684
584,684
585,684
586,684
587,688
588,688
589,688
590,688
591,688
592,688
593,689
594,689
595,689
596,689
597,689
598,689
599,689
600,689
601,689
602,689
603,689
604,689
605,689
606,689
607,689
608,689
609,689
610,689
611,689
612,689
613,689
614,689
615,689
616,689
617,689
618,689
619,689
620,689
621,689
622,689
623,689
624,689
625,689
626,689
627,689
628,689
629,689
630,689
631,689
632,689
633,689
634,689
635,689
636,689
637,689
638,689
639,689
640,689
641,689
642,689
643,721
644,721
645,721
646,721
647,721
648,723
649,723
650,723
651,723
652,723
653,723
654,730
655,731
656,731
657,731
658,731
659,731
660,731
661,731
662,731
663,731
664,731
665,731
666,731
667,731
668,731
669,731
670,731
671,731
672,731
673,731
674,731
675,731
676,731
677,731
678,731
679,731
680,731
681,731
682,740
683,740
684,740
685,740
686,740
687,740
688,740
689,740
690,740
691,740
692,740
693,740
694,740
695,740
696,740
697,740
698,740
699,740
700,740
701,740
702,743
703,743
704,743
705,743
706,743
707,743
708,743
709,743
710,743
711,743
712,749
713,749
714,749
715,749
716,749
717,749
718,749
719,749
720,749
721,749
722,749
723,749
724,749
725,749
726,749
727,749
728,749
729,749
730,753
731,753
732,753
733,753
734,753
735,753
736,753
737,753
738,753
739,753
740,753
741,753
742,753
743,753
744,753
745,753
746,753
747,753
748,753
749,758
750,758
751,758
752,758
753,758
754,758
755,758
756,758
757,758
758,758
759,758
760,758
761,758
762,758
763,758
764,758
765,758
766,758
767,758
768,758
769,759
770,759
