Iterations,Scores
0,92
1,92
2,92
3,92
4,92
5,92
6,92
7,166
8,166
9,166
10,166
11,166
12,342
13,342
14,342
15,342
16,320
17,320
18,320
19,320
20,320
21,320
22,320
23,320
24,320
25,320
26,320
27,59
28,59
29,59
30,59
31,59
32,59
33,59
34,59
35,59
36,59
37,59
38,59
39,59
40,59
41,59
42,59
43,59
44,59
45,59
46,59
47,59
48,59
49,59
50,59
51,59
52,59
53,59
54,59
55,59
56,59
57,59
58,59
59,59
60,59
61,59
62,59
63,76
64,76
65,86
66,86
67,86
68,86
69,86
70,86
71,86
72,86
73,86
74,86
75,77
76,77
77,77
78,77
79,77
80,77
81,77
82,77
83,77
84,77
85,77
86,77
87,77
88,77
89,77
90,77
91,77
92,77
93,77
94,77
95,77
96,77
97,77
98,77
99,77
100,66
101,34
102,34
103,34
104,34
105,34
106,34
107,34
108,34
109,34
110,34
111,34
112,34
113,34
114,125
115,125
116,125
117,125
118,125
119,125
120,125
121,125
122,125
123,125
124,125
125,125
126,125
127,125
128,125
129,125
130,125
131,125
132,125
133,125
134,125
135,124
136,76
137,76
138,76
139,76
140,76
141,76
142,76
143,71
144,71
145,71
146,71
147,71
148,71
149,68
150,68
151,68
152,68
153,68
154,68
155,57
156,57
157,60
158,62
159,62
160,62
161,62
162,62
163,62
164,62
165,55
166,55
167,55
168,55
169,55
170,81
171,81
172,81
173,81
174,88
175,88
176,88
177,88
178,88
179,88
180,88
181,88
182,88
183,88
184,88
185,88
186,88
187,88
188,88
189,115
190,115
191,115
192,115
193,115
194,115
195,115
196,115
197,115
198,122
199,122
200,124
201,123
202,123
203,123
204,123
205,123
206,123
207,123
208,124
209,124
210,124
211,124
212,124
213,124
214,121
215,121
216,121
217,121
218,121
219,121
220,121
221,121
222,121
223,121
224,121
225,121
226,121
227,121
228,121
229,121
230,121
231,118
232,129
233,129
234,129
235,128
236,128
237,128
238,128
239,128
240,128
241,128
242,128
243,128
244,128
245,128
246,128
247,128
248,128
249,169
250,169
251,169
252,169
253,169
254,169
255,169
256,169
257,173
258,173
259,173
260,173
261,173
262,173
263,173
264,173
265,173
266,173
267,173
268,173
269,173
270,173
271,173
272,173
273,173
274,173
275,173
276,173
277,173
278,173
279,173
280,173
281,173
282,173
283,173
284,173
285,173
286,173
287,173
288,259
289,259
290,259
291,262
292,262
293,262
294,262
295,262
296,262
297,262
298,262
299,261
300,261
301,260
302,260
303,260
304,260
305,260
306,260
307,260
308,260
309,260
310,260
311,260
312,260
313,260
314,260
315,260
316,260
317,260
318,260
319,260
320,260
321,260
322,260
323,260
324,260
325,260
326,260
327,260
328,260
329,260
330,260
331,260
332,260
333,260
334,260
335,260
336,260
337,260
338,260
339,260
340,260
341,260
342,270
343,270
344,270
345,270
346,270
347,270
348,270
349,270
350,270
351,270
352,270
353,270
354,343
355,343
356,343
357,343
358,343
359,343
360,343
361,343
362,343
363,343
364,343
365,343
366,343
367,343
368,343
369,343
370,343
371,343
372,343
373,343
374,343
375,343
376,343
377,343
378,343
379,343
380,343
381,343
382,343
383,343
384,343
385,343
386,343
387,343
388,343
389,343
390,346
391,346
392,346
393,346
394,346
395,346
396,346
397,346
398,346
399,346
400,346
401,346
402,346
403,346
404,346
405,346
406,346
407,346
408,346
409,346
410,346
411,375
412,377
413,377
414,377
415,377
416,377
417,377
418,377
419,377
420,377
421,377
422,377
423,377
424,377
425,377
426,377
427,377
428,377
429,377
430,377
431,377
432,377
433,377
434,377
435,377
436,377
437,377
438,377
439,377
440,377
441,377
442,377
443,377
444,377
445,377
446,377
447,377
448,377
449,377
450,377
451,377
452,377
453,377
454,377
455,377
456,377
457,377
458,377
459,377
460,377
461,377
462,377
463,377
464,377
465,377
466,377
467,377
468,377
469,377
470,377
471,377
472,377
473,377
474,377
