Iterations,Scores
0,133
1,133
2,133
3,133
4,133
5,133
6,136
7,136
8,151
9,151
10,151
11,151
12,151
13,151
14,135
15,135
16,135
17,135
18,138
19,138
20,138
21,141
22,141
23,141
24,141
25,141
26,141
27,141
28,141
29,141
30,141
31,141
32,141
33,141
34,109
35,109
36,109
37,109
38,109
39,109
40,109
41,109
42,96
43,96
44,96
45,96
46,96
47,96
48,96
49,96
50,96
51,96
52,96
53,197
54,197
55,197
56,197
57,197
58,207
59,62
60,62
61,62
62,62
63,62
64,62
65,62
66,62
67,62
68,62
69,62
70,62
71,106
72,106
73,106
74,106
75,106
76,106
77,106
78,107
79,107
80,107
81,107
82,107
83,107
84,107
85,107
86,107
87,107
88,107
89,107
90,107
91,107
92,107
93,107
94,107
95,107
96,127
97,127
98,127
99,127
100,127
101,130
102,130
103,130
104,137
105,61
106,61
107,61
108,61
109,61
110,61
111,98
112,98
113,98
114,98
115,98
116,98
117,98
118,78
119,80
120,80
121,80
122,80
123,78
124,78
125,78
126,78
127,78
128,215
129,215
130,320
131,320
132,320
133,320
134,325
135,325
136,325
137,325
138,325
139,325
140,325
141,325
142,344
143,344
144,344
145,344
146,344
147,344
148,345
149,345
150,345
151,345
152,345
153,332
154,332
155,332
156,332
157,332
158,332
159,332
160,332
161,342
162,342
163,353
164,355
165,355
166,349
167,349
168,349
169,349
170,349
171,349
172,349
173,347
174,347
175,347
176,347
177,347
178,347
179,362
180,371
181,371
182,371
183,371
184,371
185,371
186,361
187,361
188,361
189,361
190,361
191,361
192,361
193,361
194,361
195,361
196,361
197,365
198,365
199,365
200,365
201,365
202,365
203,365
204,365
205,365
206,365
207,365
208,365
209,365
210,365
211,365
212,365
213,365
214,367
215,367
216,367
217,367
218,367
219,367
220,367
221,367
222,367
223,367
224,367
225,367
226,367
227,367
228,367
229,367
230,367
231,367
232,367
233,367
234,367
235,367
236,367
237,367
238,367
239,367
240,367
241,367
242,367
243,367
244,367
245,367
246,367
247,367
248,367
249,367
250,367
251,367
252,407
253,407
254,407
255,407
256,407
257,407
258,407
259,407
260,407
261,407
262,407
263,408
264,408
265,408
266,408
267,408
268,408
269,408
270,408
271,408
272,408
273,408
274,408
275,408
276,408
277,408
278,408
279,408
280,408
281,408
282,408
283,408
284,415
285,415
286,415
287,415
288,415
289,415
290,431
291,431
292,431
293,431
294,431
295,431
296,431
297,431
298,453
299,453
300,453
301,453
302,453
303,453
304,453
305,453
306,453
307,453
308,453
309,453
310,464
311,464
312,464
313,464
314,464
315,464
316,464
317,464
318,464
319,464
320,464
321,464
322,469
323,469
324,469
325,469
326,469
327,469
328,469
329,469
330,469
331,469
332,469
333,469
334,469
335,469
336,469
337,469
338,469
339,469
340,469
341,469
342,469
343,469
344,469
345,469
346,469
347,469
348,469
349,478
350,478
351,478
352,478
353,478
354,478
355,479
356,485
357,485
358,485
359,485
360,485
361,485
362,485
363,485
364,485
365,485
366,485
367,485
368,485
369,485
370,485
371,485
372,485
373,485
374,485
375,485
376,485
377,485
378,485
379,485
380,485
381,485
382,485
383,485
384,485
385,485
386,492
387,492
388,492
389,492
390,492
391,492
392,492
393,492
394,492
395,492
396,538
397,538
398,538
399,538
400,538
401,542
402,542
403,542
404,543
405,543
406,543
407,543
408,543
409,543
410,543
411,543
412,543
413,543
414,543
415,543
416,543
417,543
418,543
419,543
420,543
421,543
422,549
423,554
424,554
425,554
426,554
427,554
428,554
429,554
430,554
431,554
432,554
433,554
434,554
435,554
436,554
437,554
438,554
439,554
440,554
441,554
442,554
443,554
444,554
445,554
446,554
447,554
448,554
449,554
450,554
451,554
452,554
453,554
454,554
455,554
456,554
457,554
458,554
459,554
460,554
461,554
462,554
463,554
464,554
465,554
466,554
467,554
468,554
469,554
470,554
471,554
472,554
473,554
474,554
475,554
476,554
477,556
478,556
479,556
480,556
481,556
482,556
483,556
484,556
485,556
486,556
487,556
488,563
489,563
490,563
491,563
492,563
493,563
494,563
495,576
496,576
497,576
498,576
499,576
500,576
501,576
502,576
503,576
504,576
505,576
506,576
507,576
508,576
509,576
510,576
511,576
512,576
513,576
514,576
515,578
516,578
517,578
518,578
519,578
520,578
521,578
522,578
523,578
524,578
525,578
526,578
527,578
528,578
529,578
530,578
531,578
532,578
533,578
534,578
535,578
536,578
537,578
538,578
539,578
540,578
541,578
542,578
543,578
544,578
545,578
546,578
547,578
548,578
549,578
550,578
551,578
552,578
553,578
554,578
555,578
556,578
557,578
558,578
559,578
560,578
561,578
562,578
563,578
564,578
565,578
566,578
567,578
568,578
569,578
570,578
571,578
572,578
573,578
574,593
575,593
576,593
577,593
578,593
579,593
580,593
581,593
582,593
583,593
584,593
585,593
586,593
587,593
588,593
589,593
590,593
591,593
592,593
593,593
594,593
595,593
596,593
597,593
598,593
599,644
600,644
601,644
602,644
603,644
604,647
605,647
606,647
607,647
608,647
609,647
610,647
611,647
612,647
613,647
614,647
615,647
616,647
617,647
618,647
619,647
620,647
621,647
622,647
623,647
624,647
625,647
626,647
627,647
628,647
629,647
630,655
631,655
632,655
633,655
634,655
635,655
636,655
637,656
638,656
639,656
640,656
641,656
642,656
643,656
644,656
645,656
646,656
647,656
648,656
649,656
650,656
651,656
652,656
653,656
654,656
655,658
656,658
657,658
658,658
659,658
660,658
661,658
662,658
663,658
664,658
665,658
666,658
667,658
668,658
669,658
670,658
671,674
672,674
673,674
674,674
675,674
676,674
677,674
678,674
679,674
680,674
681,674
682,674
683,674
684,674
685,674
686,674
687,674
688,674
689,674
690,674
691,674
692,674
693,674
694,674
695,674
696,674
697,674
698,674
699,674
700,674
701,674
702,674
703,674
704,674
705,674
706,674
707,674
708,689
709,689
710,689
711,689
712,689
713,689
714,689
715,689
716,689
717,689
718,689
719,689
720,689
721,689
722,689
723,689
724,689
725,689
726,706
727,706
728,706
729,706
730,706
731,706
732,706
733,706
734,706
735,706
736,706
737,706
738,706
739,706
740,706
741,706
742,706
743,706
744,706
745,706
746,706
747,706
748,706
749,706
750,706
751,706
752,706
753,706
754,706
755,706
756,706
757,706
758,706
759,706
760,706
761,708
762,713
763,713
764,713
765,713
766,716
767,716
768,716
769,716
770,716
771,716
772,716
773,716
774,716
775,716
776,716
777,716
778,716
779,716
780,716
781,716
782,716
783,716
784,716
785,716
786,716
787,716
788,716
789,716
790,716
791,716
792,716
793,716
794,716
795,716
796,716
797,739
798,739
799,739
800,739
801,739
802,739
803,739
804,739
805,739
806,739
807,739
808,739
809,739
810,739
811,739
812,739
813,739
814,739
815,739
816,739
817,739
818,739
819,739
820,739
821,739
822,739
823,739
824,739
825,739
826,739
827,739
828,739
829,739
830,757
831,757
832,757
833,757
834,757
835,757
836,757
837,757
838,757
839,757
840,757
841,757
842,757
843,757
844,757
845,757
846,757
847,773
848,773
849,773
850,773
851,773
852,773
853,773
854,773
855,773
856,773
857,773
858,773
859,773
860,773
861,773
862,773
863,773
864,773
865,773
866,773
867,773
868,773
869,773
870,773
871,773
872,773
873,773
874,773
875,773
876,773
877,773
878,773
879,775
880,775
881,775
882,775
883,775
884,775
885,775
886,775
887,775
888,775
889,775
890,775
891,775
892,775
893,775
894,775
895,775
896,775
897,775
898,775
899,775
900,775
901,775
902,775
903,775
904,775
905,775
906,775
907,775
908,786
909,786
910,786
911,786
912,786
913,786
914,786
915,786
916,786
917,786
918,788
919,788
920,788
921,788
922,788
923,788
924,788
925,788
926,788
927,790
928,790
929,793
930,793
931,793
932,793
933,793
934,793
935,793
936,793
937,793
938,793
939,793
940,793
941,793
942,793
943,793
944,793
945,793
946,793
947,793
948,793
949,793
950,793
951,795
952,795
953,795
954,795
955,795
956,795
957,795
958,819
959,819
960,819
961,819
962,819
963,819
964,819
965,820
966,820
967,824
968,824
969,824
970,824
971,824
972,824
973,824
974,824
975,824
976,824
977,824
978,824
979,824
980,824
981,824
982,824
983,824
984,824
985,824
986,824
987,824
988,824
989,824
990,824
991,824
992,824
993,824
994,824
995,824
996,824
997,824
998,824
999,824
1000,824
1001,824
1002,824
1003,824
1004,824
1005,824
1006,824
1007,824
1008,824
1009,824
1010,824
1011,824
1012,824
1013,824
1014,824
1015,824
1016,824
1017,824
1018,824
1019,824
1020,824
1021,824
1022,824
1023,824
1024,824
1025,824
1026,824
1027,824
1028,824
1029,824
1030,824
1031,824
1032,824
1033,824
1034,824
1035,824
1036,824
1037,824
1038,824
1039,824
1040,824
1041,824
1042,824
1043,824
1044,824
1045,824
1046,824
1047,824
1048,824
1049,824
1050,824
1051,824
1052,824
1053,830
1054,830
1055,830
1056,830
1057,830
1058,830
1059,830
1060,830
1061,830
1062,830
1063,830
1064,830
1065,830
1066,830
1067,830
1068,830
1069,830
1070,830
1071,830
1072,830
1073,830
1074,830
1075,830
1076,830
1077,830
1078,831
1079,831
1080,831
1081,831
1082,831
1083,831
1084,831
1085,831
1086,831
1087,831
1088,831
1089,833
1090,833
1091,843
1092,843
1093,843
1094,843
1095,843
1096,843
1097,843
1098,843
1099,843
1100,843
1101,843
1102,843
1103,843
1104,843
1105,843
1106,843
1107,843
1108,846
1109,846
1110,853
1111,853
1112,853
1113,853
1114,853
1115,853
1116,853
1117,853
1118,861
1119,861
1120,861
1121,861
1122,861
1123,861
1124,861
1125,861
1126,861
1127,861
1128,861
1129,861
1130,861
1131,861
1132,861
1133,861
1134,861
1135,869
1136,869
1137,869
1138,869
1139,869
1140,869
1141,869
1142,869
1143,869
1144,869
1145,869
1146,869
1147,869
1148,883
1149,883
1150,883
1151,883
1152,883
1153,883
1154,883
1155,883
1156,883
1157,883
1158,883
1159,883
1160,888
