Iterations,Scores
0,232
1,232
2,232
3,232
4,232
5,232
6,232
7,232
8,232
9,232
10,232
11,232
12,232
13,210
14,210
15,256
16,256
17,256
18,256
19,256
20,249
21,249
22,239
23,239
24,226
25,226
26,226
27,264
28,266
29,266
30,261
31,292
32,292
33,292
34,289
35,289
36,289
37,289
38,289
39,234
40,235
41,235
42,235
43,139
44,139
45,139
46,139
47,139
48,132
49,132
50,132
51,132
52,132
53,132
54,132
55,132
56,132
57,132
58,132
59,132
60,132
61,132
62,132
63,133
64,133
65,133
66,151
67,151
68,151
69,151
70,151
71,163
72,163
73,163
74,163
75,163
76,163
77,163
78,163
79,163
80,163
81,163
82,163
83,163
84,163
85,163
86,163
87,163
88,163
89,163
90,304
91,304
92,304
93,304
94,304
95,304
96,304
97,304
98,304
99,303
100,303
101,303
102,303
103,303
104,303
105,307
106,307
107,307
108,307
109,311
110,311
111,311
112,311
113,311
114,311
115,311
116,311
117,311
118,311
119,311
120,311
121,311
122,311
123,311
124,311
125,311
126,311
127,311
128,311
129,324
130,324
131,324
132,324
133,324
134,324
135,324
136,324
137,324
138,324
139,324
140,324
141,324
142,324
143,324
144,324
145,324
146,324
147,324
148,324
149,324
150,324
151,324
152,324
153,324
154,324
155,324
156,324
157,324
158,324
159,324
160,324
161,324
162,325
163,328
164,328
165,328
166,332
167,333
168,333
169,333
170,333
171,333
172,333
173,378
174,378
175,378
176,378
177,378
178,399
179,399
180,399
181,399
182,399
183,399
184,399
185,399
186,399
187,399
188,399
189,399
190,399
191,399
192,403
193,403
194,403
195,403
196,403
197,403
198,403
199,403
200,404
201,404
202,404
203,404
204,404
205,424
206,424
207,424
208,424
209,424
210,424
211,431
212,431
213,431
214,431
215,431
216,431
217,435
218,436
219,436
220,436
221,436
222,436
223,436
224,436
225,436
226,436
227,436
228,436
229,436
230,436
231,436
232,436
233,436
234,436
235,436
236,436
237,439
238,439
239,439
240,439
241,444
242,444
243,444
244,444
245,444
246,444
247,444
248,444
249,444
250,444
251,444
252,444
253,444
254,500
255,500
256,500
257,500
258,500
259,500
260,500
261,500
262,500
263,500
264,504
265,504
266,504
267,504
268,512
269,512
270,512
271,512
272,512
273,512
274,544
275,544
276,544
277,544
278,544
279,544
280,544
281,544
282,544
283,544
284,544
285,545
286,545
287,545
288,545
289,545
290,545
291,545
292,561
293,561
294,561
295,561
296,561
297,561
298,561
299,561
300,568
301,568
302,568
303,568
304,569
305,569
306,569
307,569
308,569
309,569
310,569
311,569
312,569
313,569
314,573
315,573
316,577
317,577
318,577
319,577
320,577
321,577
322,577
323,577
324,577
325,577
326,577
327,577
328,579
329,579
330,579
331,579
332,579
333,579
334,579
335,579
336,579
337,579
338,579
339,579
340,579
341,581
342,581
343,581
344,581
345,581
346,581
347,581
348,581
349,581
350,581
351,581
352,581
353,581
354,581
355,581
356,581
357,581
358,581
359,581
360,581
361,581
362,581
363,581
364,581
365,581
366,581
367,581
368,581
369,581
370,581
371,581
372,581
373,581
374,581
375,581
376,581
377,581
378,581
379,581
380,581
381,581
382,581
383,581
384,581
385,581
386,581
387,595
388,595
389,595
390,595
391,595
392,595
393,595
394,595
395,595
396,595
397,595
398,595
399,595
400,595
401,595
402,595
403,595
404,595
405,595
406,595
407,595
408,595
409,595
410,595
411,595
412,595
413,595
414,598
415,600
416,600
417,600
418,600
419,600
420,600
421,600
422,600
423,600
424,600
425,600
426,600
427,600
428,600
429,600
430,600
431,614
432,614
433,614
434,614
435,614
436,614
437,614
438,614
439,614
440,614
441,614
442,614
443,614
444,614
445,614
446,614
447,614
448,614
449,620
450,620
451,620
452,620
453,620
454,620
455,620
456,620
457,620
458,620
459,620
460,620
461,620
462,620
463,623
464,623
465,623
466,623
467,623
468,626
469,626
470,626
471,626
472,626
473,626
474,649
475,649
476,649
477,649
478,649
479,649
480,649
481,649
482,649
483,649
484,649
485,649
486,652
487,652
488,652
489,652
490,652
491,652
492,652
493,652
494,652
495,652
496,652
497,652
498,652
499,652
500,652
501,652
502,652
503,652
504,652
505,652
506,652
