Iterations,Scores
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,213
8,214
9,214
10,214
11,214
12,131
13,131
14,131
15,131
16,131
17,131
18,131
19,131
20,131
21,131
22,131
23,131
24,136
25,136
26,136
27,136
28,136
29,136
30,136
31,136
32,136
33,136
34,136
35,136
36,136
37,136
38,136
39,126
40,126
41,126
42,126
43,126
44,126
45,126
46,126
47,126
48,126
49,126
50,126
51,126
52,126
53,126
54,126
55,126
56,126
57,126
58,126
59,126
60,126
61,126
62,69
63,69
64,69
65,69
66,69
67,69
68,69
69,69
70,69
71,69
72,69
73,69
74,61
75,61
76,135
77,135
78,135
79,139
80,139
81,139
82,103
83,103
84,103
85,103
86,103
87,103
88,103
89,95
90,95
91,95
92,95
93,95
94,95
95,76
96,76
97,76
98,76
99,76
100,76
101,76
102,76
103,47
104,47
105,47
106,47
107,47
108,47
109,53
110,53
111,53
112,53
113,53
114,53
115,53
116,53
117,53
118,53
119,53
120,53
121,53
122,53
123,53
124,53
125,53
126,50
127,50
128,43
129,43
130,43
131,43
132,43
133,43
134,43
135,44
136,44
137,44
138,44
139,44
140,44
141,44
142,44
143,44
144,44
145,44
146,74
147,74
148,74
149,74
150,74
151,74
152,74
153,74
154,74
155,74
156,74
157,74
158,74
159,74
160,74
161,74
162,74
163,74
164,74
165,74
166,74
167,74
168,74
169,74
170,74
171,74
172,74
173,74
174,74
175,74
176,74
177,74
178,73
179,73
180,73
181,73
182,73
183,73
184,73
185,73
186,73
187,73
188,73
189,73
190,73
191,73
192,73
193,73
194,73
195,73
196,73
197,73
198,73
199,73
200,73
201,73
202,73
203,73
204,226
205,226
206,226
207,226
208,226
209,226
210,228
211,184
212,184
213,47
214,47
215,37
216,37
217,37
218,37
219,37
220,37
221,37
222,37
223,37
224,37
225,41
226,41
227,41
228,41
229,41
230,41
231,41
232,41
233,41
234,41
235,41
236,41
237,41
238,41
239,41
240,41
241,41
242,41
243,41
244,41
245,41
246,41
247,41
248,41
249,41
250,41
251,41
252,41
253,41
254,41
255,41
256,41
257,41
258,41
259,41
260,41
261,41
262,41
263,41
264,41
265,41
266,41
267,41
268,41
269,41
270,41
271,41
272,41
273,41
274,41
275,41
276,41
277,41
278,41
279,41
280,41
281,41
282,41
283,41
284,41
285,41
286,41
287,41
288,41
289,41
290,41
291,41
292,41
293,41
294,41
295,41
296,41
297,41
298,41
299,41
300,41
301,41
302,41
303,41
304,41
305,41
306,41
307,41
308,41
309,41
310,41
311,42
312,42
313,42
314,42
315,48
316,48
317,48
318,48
319,48
320,48
321,48
322,48
323,48
324,48
325,34
326,34
327,34
328,34
329,34
330,34
331,34
332,34
333,34
334,34
335,34
336,34
337,34
338,34
339,34
340,34
341,34
342,34
343,34
344,34
345,34
346,34
347,34
348,34
349,34
350,34
351,34
352,34
353,34
354,34
355,34
356,34
357,34
358,34
359,43
360,43
361,43
362,43
363,43
364,43
365,43
366,43
367,43
368,43
369,43
370,43
371,43
372,43
373,43
374,43
375,43
376,150
377,150
378,150
379,150
380,150
381,150
382,150
