Iterations,Scores
0,193
1,193
2,193
3,193
4,96
5,100
6,100
7,100
8,100
9,100
10,100
11,37
12,37
13,37
14,37
15,37
16,37
17,37
18,37
19,37
20,37
21,37
22,40
23,40
24,53
25,53
26,53
27,53
28,53
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,116
39,116
40,116
41,149
42,106
43,106
44,106
45,106
46,163
47,163
48,163
49,163
50,182
51,300
52,300
53,326
54,326
55,326
56,326
57,326
58,326
59,286
60,286
61,286
62,121
63,121
64,121
65,121
66,121
67,121
68,121
69,121
70,121
71,121
72,121
73,121
74,121
75,121
76,121
77,121
78,117
79,117
80,117
81,117
82,117
83,117
84,117
85,117
86,124
87,124
88,124
89,197
90,197
91,197
92,101
93,101
94,185
95,185
96,185
97,185
98,185
99,185
100,185
101,185
102,185
103,185
104,185
105,185
106,185
107,185
108,185
109,185
110,185
111,185
112,185
113,185
114,185
115,185
116,185
117,185
118,185
119,185
120,185
121,185
122,185
123,185
124,185
125,185
126,185
127,185
128,185
129,185
130,44
131,44
132,44
133,44
134,44
135,44
136,44
137,44
138,44
139,44
140,44
141,44
142,44
143,44
144,44
145,44
146,44
147,44
148,44
149,44
150,44
151,44
152,44
153,44
154,44
155,44
156,44
157,44
158,44
159,140
160,62
161,62
162,62
163,62
164,62
165,62
166,62
167,62
168,62
169,62
170,62
171,55
172,55
173,55
174,55
175,55
176,55
177,55
178,55
179,55
180,55
181,55
182,55
183,55
184,90
185,90
186,90
187,90
188,90
189,90
190,150
191,150
192,150
193,150
194,146
195,146
196,146
197,146
198,144
199,145
200,145
201,145
202,139
203,139
204,139
205,139
206,139
207,139
208,139
209,139
210,139
211,139
212,139
213,139
214,139
215,146
216,146
217,70
218,70
219,140
220,140
221,140
222,148
223,148
224,148
225,148
226,148
227,148
228,148
229,138
230,138
231,138
232,138
233,138
234,138
235,138
236,139
237,139
238,139
239,139
240,160
241,163
242,163
243,169
244,163
245,163
246,163
247,125
248,125
249,125
250,118
251,118
252,118
253,118
254,118
255,118
256,118
257,174
258,174
259,174
260,174
261,178
262,178
263,178
264,178
265,173
266,173
267,173
268,173
269,173
270,173
271,173
272,173
273,173
274,173
275,173
276,173
277,173
278,173
279,173
280,173
281,173
282,173
283,173
284,173
285,173
286,173
287,173
288,173
289,173
290,173
291,173
292,173
293,173
294,173
295,173
296,173
297,173
298,173
299,173
300,173
301,173
302,173
303,173
304,173
305,173
306,173
307,173
308,173
309,173
310,173
311,173
312,173
313,173
314,173
315,173
316,173
317,173
318,173
319,173
320,173
321,173
322,180
323,180
324,180
325,180
326,180
327,180
328,180
329,180
330,180
331,180
332,180
333,180
334,180
335,180
336,180
337,183
338,183
339,183
340,183
341,183
342,183
343,183
344,183
345,183
346,183
347,183
348,183
349,183
350,183
351,183
352,183
353,183
354,183
355,183
356,183
357,183
358,183
359,183
360,183
361,183
362,183
363,183
364,177
365,177
366,177
367,177
368,177
369,177
370,177
371,177
372,177
373,177
374,177
375,177
376,177
377,177
378,177
379,177
380,177
381,177
382,177
383,177
384,177
385,177
386,177
387,177
388,177
389,177
390,177
391,177
392,177
393,177
394,177
395,177
396,177
397,171
398,171
399,171
400,171
401,171
402,171
403,171
404,171
405,171
406,171
407,171
408,171
409,171
410,171
411,171
412,171
413,171
414,171
415,171
416,171
417,171
418,171
419,171
420,171
421,171
422,171
423,171
424,188
425,188
426,188
427,188
428,188
429,188
430,188
431,188
432,188
433,188
434,188
435,188
436,188
437,188
438,188
439,188
440,188
441,188
442,188
443,188
444,188
445,188
446,188
447,188
448,196
449,196
450,196
451,196
452,196
453,196
454,196
455,196
456,196
457,196
458,196
459,196
460,196
461,196
462,196
463,196
464,196
465,196
466,196
467,196
468,196
469,196
470,196
471,196
472,207
473,207
474,207
475,207
476,207
477,207
478,207
479,207
480,207
481,245
482,245
483,245
484,263
485,263
486,263
487,263
488,263
489,263
490,263
491,263
492,263
493,263
494,263
495,263
496,263
497,263
498,263
499,263
500,263
501,263
502,263
503,263
504,263
505,263
506,263
507,263
508,263
509,263
510,263
511,263
512,263
513,263
514,263
515,263
516,263
517,263
518,266
519,266
520,266
521,266
522,266
523,266
524,266
