Iterations,Scores
0,166
1,166
2,200
3,200
4,200
5,200
6,200
7,200
8,188
9,188
10,62
11,62
12,62
13,62
14,62
15,62
16,62
17,62
18,62
19,62
20,62
21,62
22,62
23,77
24,77
25,77
26,77
27,77
28,77
29,142
30,142
31,142
32,142
33,142
34,142
35,142
36,142
37,150
38,146
39,146
40,146
41,146
42,147
43,147
44,147
45,147
46,147
47,147
48,147
49,147
50,147
51,147
52,147
53,147
54,147
55,153
56,153
57,68
58,68
59,68
60,68
61,68
62,68
63,40
64,40
65,40
66,95
67,95
68,95
69,95
70,95
71,95
72,95
73,95
74,95
75,95
76,95
77,95
78,95
79,95
80,95
81,95
82,95
83,95
84,95
85,61
86,61
87,61
88,61
89,61
90,61
91,61
92,61
93,61
94,61
95,61
96,61
97,61
98,61
99,61
100,61
101,61
102,61
103,61
104,61
105,61
106,61
107,61
108,61
109,61
110,61
111,61
112,61
113,61
114,61
115,61
116,42
117,42
118,42
119,42
120,42
121,52
122,52
123,52
124,52
125,52
126,52
127,52
128,52
129,52
130,52
131,52
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,52
141,52
142,52
143,52
144,52
145,52
146,52
147,52
148,51
149,51
150,51
151,51
152,50
153,50
154,50
155,50
156,50
157,50
158,50
159,50
160,50
161,45
162,45
163,45
164,45
165,45
166,45
167,45
168,45
169,45
170,45
171,45
172,45
173,45
174,45
175,45
176,45
177,45
178,45
179,45
180,45
181,45
182,45
183,45
184,45
185,45
186,45
187,45
188,45
189,45
190,45
191,45
192,45
193,45
194,45
195,45
196,45
197,45
198,45
199,45
200,45
201,45
202,45
203,45
204,45
205,45
206,45
207,45
208,45
209,67
210,67
211,67
212,67
213,67
214,55
215,55
216,26
217,26
218,26
219,26
220,26
221,39
222,39
223,39
224,39
225,39
226,39
227,39
228,39
229,39
230,39
231,39
232,39
233,39
234,39
235,39
236,39
237,39
238,39
239,39
240,39
241,39
242,39
243,39
244,39
245,39
246,39
247,39
248,39
249,39
250,39
251,39
252,39
253,39
254,39
255,36
256,36
257,36
258,36
259,36
260,36
261,36
262,36
263,36
264,36
265,36
266,41
267,41
268,41
269,41
270,41
271,41
272,172
273,172
274,172
275,208
276,208
277,208
278,208
279,208
280,208
281,208
282,208
283,208
284,205
285,168
286,168
287,168
288,168
289,168
290,168
291,168
292,168
293,156
294,156
295,212
296,212
297,212
298,212
299,212
300,212
301,212
302,212
303,212
304,212
305,235
306,245
307,245
308,245
309,245
310,245
311,245
312,235
313,235
314,235
315,235
316,235
317,235
318,235
319,230
320,230
321,230
322,230
323,230
324,230
325,230
326,230
327,181
328,181
329,181
330,181
331,181
332,181
333,181
334,181
335,181
336,220
337,227
338,227
339,227
340,227
341,227
342,227
343,227
344,227
345,227
346,202
347,202
348,202
349,202
350,180
351,180
352,180
353,180
354,180
355,171
356,171
357,171
358,171
359,171
360,129
361,129
362,129
363,129
364,129
365,129
