,Temperature,Cool Rate,Final Score,Compute Time
307,8000.0,0.985,4936,69.41616415977478
308,8000.0,0.99,4178,61.51172494888306
309,8000.0,0.995,4486,57.85181379318237
310,8250.0,0.95,5946,72.1666407585144
311,8250.0,0.955,4790,65.57441306114197
312,8250.0,0.96,4485,64.810870885849
313,8250.0,0.965,5014,66.12709498405457
314,8250.0,0.97,4178,57.673985958099365
315,8250.0,0.975,4143,56.427892208099365
316,8250.0,0.98,4405,61.83610391616821
317,8250.0,0.985,4609,59.77964115142822
318,8250.0,0.99,4135,61.299445152282715
319,8250.0,0.995,4840,74.388258934021
320,8500.0,0.95,5214,68.29458689689636
321,8500.0,0.955,4574,65.57798027992249
322,8500.0,0.96,3505,58.65308403968811
323,8500.0,0.965,4785,67.65082025527954
324,8500.0,0.97,3373,54.714133977890015
325,8500.0,0.975,5069,69.87162494659424
326,8500.0,0.98,5464,67.34162521362305
327,8500.0,0.985,5931,68.9108099937439
328,8500.0,0.99,4624,69.21989703178406
329,8500.0,0.995,6760,81.10188698768616
330,8750.0,0.95,3426,54.863481760025024
331,8750.0,0.955,3598,56.46762013435364
332,8750.0,0.96,3215,54.32531499862671
333,8750.0,0.965,5468,72.62360501289368
334,8750.0,0.97,4934,64.42949986457825
335,8750.0,0.975,4362,57.04626822471619
336,8750.0,0.98,5196,69.53520107269287
337,8750.0,0.985,5292,70.51458382606506
338,8750.0,0.99,5296,68.31499314308167
339,8750.0,0.995,3014,44.90346074104309
340,9000.0,0.95,4893,68.46721410751343
341,9000.0,0.955,3684,56.35864782333374
342,9000.0,0.96,5596,73.81309080123901
343,9000.0,0.965,4062,53.72102212905884
344,9000.0,0.97,4794,68.78079295158386
345,9000.0,0.975,5400,67.34480309486389
346,9000.0,0.98,4135,62.87290024757385
347,9000.0,0.985,4887,68.11754631996155
348,9000.0,0.99,4847,68.73921799659729
349,9000.0,0.995,5699,72.93261122703552
350,9250.0,0.95,5126,69.29585790634155
351,9250.0,0.955,5706,72.91402339935303
352,9250.0,0.96,3984,60.12030601501465
353,9250.0,0.965,4418,59.01766014099121
354,9250.0,0.97,4458,64.62079906463623
355,9250.0,0.975,5443,71.52037501335144
356,9250.0,0.98,3892,58.00696778297424
357,9250.0,0.985,4644,61.59709024429321
358,9250.0,0.99,4542,64.72151899337769
359,9250.0,0.995,6430,77.24121809005737
360,9500.0,0.95,4411,65.63756608963013
361,9500.0,0.955,4996,66.40138220787048
362,9500.0,0.96,4870,63.25702404975891
363,9500.0,0.965,3588,56.61051797866821
364,9500.0,0.97,4696,68.1570360660553
365,9500.0,0.975,4381,62.650174140930176
366,9500.0,0.98,4547,65.87029790878296
367,9500.0,0.985,4860,61.71702194213867
368,9500.0,0.99,4521,64.12273526191711
369,9500.0,0.995,3852,52.86248302459717
370,9750.0,0.95,3634,54.43233323097229
371,9750.0,0.955,4856,67.50463104248047
372,9750.0,0.96,5067,74.12577700614929
373,9750.0,0.965,5319,64.87988185882568
374,9750.0,0.97,3751,58.53999423980713
375,9750.0,0.975,3713,57.06517672538757
376,9750.0,0.98,3622,55.03455424308777
377,9750.0,0.985,4887,61.51746487617493
378,9750.0,0.99,4364,58.37984013557434
379,9750.0,0.995,3140,48.98479390144348
380,10000.0,0.95,4919,62.89108109474182
381,10000.0,0.955,3961,53.10632109642029
382,10000.0,0.96,5003,64.16605591773987
383,10000.0,0.965,5929,75.63490009307861
384,10000.0,0.97,4708,63.195854902267456
385,10000.0,0.975,5296,72.74845004081726
386,10000.0,0.98,5113,65.93098020553589
387,10000.0,0.985,4569,63.205317735672
388,10000.0,0.99,3827,57.224886894226074
389,10000.0,0.995,6063,76.49836683273315
